number,Ingredient,Category,Source,Safety,Evidence
1,Chaetomorpha linum,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
2,Chlorella fusca,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
3,Chlorella sorokiniana,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
4,Chlorella vulgaris,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
5,Cladophora glomerata,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
6,Crypthecodinium cohnii,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
7,Dunaliella salina,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
8,Euglena gracilis,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
9,Haematococcus pluvialis,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
10,Isochrysis galbana,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
11,Nannochloropsis gaditana,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
12,Pavlova lutheri,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
13,Porphyridium cruentum,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
14,Schizochytrium limacinum,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
15,Skeletonema costatum,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
16,Spirulina maxima,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
17,Spirulina platensis,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
18,Tetraselmis suecica,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
19,Thalassiosira pseudonana,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
20,Ulva lactuca,Algae – Ultra,Vegan / Microbial,General Dietary Use,Mixed / Limited Evidence
21,Aspartame (not recommended but AA derivative),Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
22,Aspartyl-Phenylalanine,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
23,Beta-Methylphenylethylamine (BMPEA),Amino / Metabolite,Mixed/Neutral,Restricted/Controlled or High-Risk,Mixed / Limited Evidence
24,Citrulline Peptide,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Strong Clinical Evidence
25,Ergothioneine,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Emerging Evidence
26,Glycine Betaine,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
27,Histamine (as supplement caution),Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
28,Homoarginine,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
29,N-Methyl-D-Aspartate (NMDA),Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
30,PQQ Disodium Salt,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Emerging Evidence
31,Phenylethylamine (PEA),Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
32,Putrescine (Polyamine),Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
33,Sarcosine,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
34,Spermidine,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Emerging Evidence
35,Spermine,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Emerging Evidence
36,Taurine Anhydrous,Amino / Metabolite,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
37,Acetyl‑L‑Carnitine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
38,Alpha‑GPC,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
39,Arginine AKG,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
40,Betaine (Trimethylglycine),Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
41,Beta‑Alanine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
42,CDP‑Choline (Citicoline),Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
43,Carnitine (L‑Carnitine),Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
44,Casein Protein,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
45,Choline Bitartrate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
46,Chondroitin Sulfate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
47,Citrulline,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Strong Clinical Evidence
48,Citrulline Malate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Strong Clinical Evidence
49,Collagen Peptides,Amino Acid / Protein / Derivative,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
50,Creatine HCl,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Strong Clinical Evidence
51,Creatine Monohydrate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Strong Clinical Evidence
52,Creatine Nitrate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Strong Clinical Evidence
53,DL‑Phenylalanine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
54,Egg White Protein,Amino Acid / Protein / Derivative,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
55,GABA,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
56,Gelatin,Amino Acid / Protein / Derivative,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
57,Glucosamine HCl,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
58,Glucosamine Sulfate,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
59,Hemp Protein,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
60,Hyaluronic Acid,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
61,Hydrolyzed Collagen,Amino Acid / Protein / Derivative,Animal-Derived,General Dietary Use,Mixed / Limited Evidence
62,Inositol,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
63,L‑Alanine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
64,L‑Arginine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
65,L‑Asparagine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
66,L‑Aspartic Acid,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
67,L‑Cysteine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
68,L‑Glutamic Acid,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
69,L‑Glutamine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
70,L‑Glycine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
71,L‑Histidine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
72,L‑Isoleucine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
73,L‑Leucine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
74,L‑Lysine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
75,L‑Methionine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
76,L‑Phenylalanine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
77,L‑Proline,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
78,L‑Serine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
79,L‑Threonine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
80,L‑Tryptophan,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
81,L‑Tyrosine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
82,MSM (Methylsulfonylmethane),Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
83,N‑Acetyl‑Cysteine (NAC),Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
84,N‑Acetyl‑Glucosamine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
85,N‑Acetyl‑Tyrosine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
86,Ornithine,Amino Acid / Protein / Derivative,Mixed/Neutral,General Dietary Use,Mixed / Limited Evidence
